Title	Automatic Segmentation of Multiparty Dialogue	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Body	ble 2, adds further evidence to our hypothesis that	page=4 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower
I-Body	predicting subtopics may be a different task from	page=4 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	predicting top-level topics. Subtopic shifts oc-	page=4 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cur more frequently, and often without clear con-	page=4 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	versational cues. This is suggested by the fact	page=4 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	that absolute performance on subtopic prediction	page=4 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	degrades when any of the interactional features	page=4 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	are combined with the lexical cohesion features.	page=4 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	In contrast, the interactional features slightly im-	page=4 xpos=5 ypos=7 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	prove performance when predicting top-level seg-	page=4 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ments. Moreover, the fact that the feature OVR	page=4 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	has a positive impact on the model for predicting	page=4 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	top-level topic boundaries, but does not improve	page=4 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	the model for predicting subtopic boundaries re-	page=4 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	veals that having less overlapping speech is a more	page=4 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	prominent phenomenon in major topic shifts than	page=4 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>4</sup> Because we do not wish to make assumptions about the	page=4 xpos=5 ypos=8 right-column left-indent indented-line line-double-space line-space headchar-super
I-Footnote	underlying distribution of error rates, and error rates are not	page=4 xpos=5 ypos=8 right-column full-justified font-smallest hanged-line headchar-lower
I-Footnote	measured on an interval level, we use a non-parametric sign	page=4 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-lower
I-Footnote	test throughout these experiments to compute statistical sig-	page=4 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-lower tailchar-hiphen
I-Footnote	nificance.	page=4 xpos=5 ypos=9 right-column right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period column-bottom above-blank-line above-double-space above-line-space
Page	277	page=4 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	in subtopic shifts.	page=5 xpos=0 ypos=0 left-column right-indent page-top headchar-lower tailchar-period above-double-space above-line-space
B-SubsubsectionHeader	4.1.2 Effect of feature combinations:	page=5 xpos=0 ypos=0 left-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading3 tailchar-colon
I-SubsubsectionHeader	predicting from ASR output	page=5 xpos=0 ypos=0 left-column left-indent right-indent indented-line shorter-tail headchar-lower above-line-space
B-Body	Features extracted from ASR transcripts are dis-	page=5 xpos=0 ypos=0 left-column left-indent hanged-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	tinct from those extracted from human transcripts	page=5 xpos=0 ypos=0 left-column full-justified hanged-line headchar-lower
I-Body	in at least three ways: (1) incorrectly recognized	page=5 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	words incur erroneous lexical cohesion features	page=5 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	(LF), (2) incorrectly recognized words incur erro-	page=5 xpos=0 ypos=1 left-column full-justified aligned-line tailchar-hiphen
I-Body	neous cue phrase features (CUE), and (3) the ASR	page=5 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
E-Body	system recognizes less overlapping speech (OVR).	page=5 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-period
B-Body	In contrast to the finding that integrating conver-	page=5 xpos=0 ypos=1 left-column left-indent indented-line headchar-capital tailchar-hiphen
I-Body	sational features with lexical cohesion features is	page=5 xpos=0 ypos=2 left-column full-justified hanged-line headchar-lower
I-Body	useful for prediction from human transcripts, Ta-	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ble 3 shows that when operating on ASR output,	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	neither adding interactional nor cue phrase fea-	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tures improves the performance of the model using	page=5 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	only lexical cohesion features. In fact, the model	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	using all features (ALL) is significantly worse than	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	the model using only lexical cohesion based fea-	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tures (LF). This suggests that we must explore new	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	features that can lessen the perplexity introduced	page=5 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
E-Body	by ASR outputs in order to train a better model.	page=5 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Table	__Table 3__	page=5 xpos=0 ypos=4 left-column left-indent right-indent box indented-line shorter-tail line-double-space line-space table-area above-double-space above-line-space
B-Caption	Table 3: Effect of different feature combinations	page=5 xpos=0 ypos=6 left-column full-justified hanged-line longer-tail line-double-space line-space string-table headchar-capital
E-Caption	for predicting topic boundaries from ASR output.	page=5 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SubsectionHeader	4.2 Experiment 2: Statistically learned cue	page=5 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail line-blank-line line-double-space line-space numbered-heading2
I-SubsectionHeader	phrases	page=5 xpos=0 ypos=7 left-column left-indent right-indent indented-line shorter-tail headchar-lower above-double-space above-line-space
B-Body	In prior work, Galley et al. (2003) empirically	page=5 xpos=0 ypos=7 left-column full-justified hanged-line longer-tail line-double-space line-space year headchar-capital
I-Body	identified cue phrases that are indicators of seg-	page=5 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ment boundaries, and then eliminated all cues that	page=5 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	had not previously been identified as cue phrases	page=5 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	in the literature. Here, we conduct an experiment	page=5 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	to explore how different ways of identifying cue	page=5 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	phrases can help identify useful new features for	page=5 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	the two boundary prediction tasks.	page=5 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In each fold of the 25-fold leave-one-out cross	page=5 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	validation, we use a modified <sup>5</sup> Chi-square test to	page=5 xpos=0 ypos=9 left-column full-justified font-largest hanged-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>5</sup> In order to satisfy the mathematical assumptions under-	page=5 xpos=0 ypos=9 left-column left-indent indented-line line-double-space line-space headchar-super tailchar-hiphen column-bottom
I-Body	calculate statistics for each word (unigram) and	page=5 xpos=5 ypos=0 right-column full-justified column-top headchar-lower
I-Body	word pair (bi-gram) that occurred in the 24 train-	page=5 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing meetings. We then rank unigrams and bigrams	page=5 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	according to their Chi-square scores, filtering out	page=5 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	those with values under 6.64, the threshold for the	page=5 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	Chi-square statistic at the 0.01 significance level.	page=5 xpos=5 ypos=0 right-column full-justified aligned-line headchar-capital tailchar-period
I-Body	The unigrams and bigrams in this ranked list are	page=5 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital
I-Body	the learned cue phrases. We then use the occur-	page=5 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rence counts of cue phrases in an analysis window	page=5 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	around each potential topic boundary in the test	page=5 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
E-Body	meeting as a feature.	page=5 xpos=5 ypos=1 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Table 4 shows the performance of models that	page=5 xpos=5 ypos=2 right-column left-indent indented-line longer-tail string-table headchar-capital
I-Body	use statistically learned cue phrases in their feature	page=5 xpos=5 ypos=2 right-column full-justified hanged-line headchar-lower
I-Body	sets compared with models using no cue phrase	page=5 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	features and Galley’s model, which only uses cue	page=5 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	phrases that correspond to those identified in the	page=5 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	literature (Col-cue). We see that for predicting	page=5 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	subtopics, models using the cue word features	page=5 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	(1gram) and the combination of cue words and bi-	page=5 xpos=5 ypos=3 right-column full-justified aligned-line tailchar-hiphen
I-Body	grams (1+2gram) yield a 15% and 8.24% improve-	page=5 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ment over models using no cue features (NOCUE)	page=5 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	(p < 0.01) respectively, while models using only	page=5 xpos=5 ypos=3 right-column full-justified font-largest aligned-line
I-Body	cue phrases found in the literature (Col-cue) im-	page=5 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	prove performance by just 3.18%. In contrast, for	page=5 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	predicting top-level topics, the model using cue	page=5 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	phrases from the literature (Col-cue) achieves a	page=5 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	4.2% improvement, and this is the only model that	page=5 xpos=5 ypos=4 right-column full-justified aligned-line
I-Body	produces statistically significantly better results	page=5 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	than the model using no cue phrases (NOCUE).	page=5 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	The superior performance of models using statis-	page=5 xpos=5 ypos=5 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	tically learned cue phrases as features for predict-	page=5 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing subtopic boundaries suggests there may exist a	page=5 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	different set of cue phrases that serve as segmen-	page=5 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tation cues for subtopic boundaries.	page=5 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	5 Discussion	page=5 xpos=5 ypos=6 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	As observed in the corpus of meetings, the lack	page=5 xpos=5 ypos=6 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	of macro-level segment units (e.g., story breaks,	page=5 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	paragraph breaks) makes the task of segmenting	page=5 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	spontaneous multiparty dialogue, such as meet-	page=5 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ings, different from segmenting text or broadcast	page=5 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	news. Compared to the task of segmenting expos-	page=5 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	itory texts reported in Hearst (1997) with a 39.1%	page=5 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-lower
I-Body	chance of each paragraph end being a target topic	page=5 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	boundary, the chance of each speaker turn be-	page=5 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing a top-level or sub-topic boundary in our ICSI	page=5 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	corpus is just 2.2% and 0.69%. The imbalanced	page=5 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	class distribution has a negative effect on the per-	page=5 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen above-double-space above-line-space
B-Footnote	lying the test, we removed cases with an expected value that	page=5 xpos=5 ypos=8 right-column full-justified font-smallest aligned-line line-double-space line-space headchar-lower
I-Footnote	is under a threshold (in this study, we use 1), and we apply	page=5 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-lower
I-Footnote	Yate’s correction, (|ObservedV alue − ExpectedV alue| −	page=5 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-capital
I-Footnote	0.5) <sup>2</sup> /ExpectedV alue.	page=5 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail tailchar-period column-bottom above-blank-line above-double-space above-line-space
Page	278	page=5 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
Table	__Table 4__	page=6 xpos=1 ypos=-1 single-column left-indent right-indent box page-top table-area above-double-space above-line-space
B-Caption	Table 4: Performance of models trained with cue phrases from the literature (Col-cue) and cue phrases	page=6 xpos=0 ypos=0 single-column centered right-indent hanged-line longer-tail line-double-space line-space string-table headchar-capital
I-Caption	learned from statistical tests, including cue words (1gram), cue word pairs (2gram), and cue phrases	page=6 xpos=0 ypos=0 single-column centered right-indent aligned-line headchar-lower
I-Caption	composed of both words and word pairs (1+2gram). NOCUE is the model using no cue phrase features.	page=6 xpos=0 ypos=0 single-column centered right-indent aligned-line headchar-lower tailchar-period
E-Caption	The Topline is the agreement of human annotators on top-level segments.	page=6 xpos=0 ypos=0 single-column right-indent aligned-line shorter-tail headchar-capital tailchar-period column-bottom above-double-space above-line-space
Figure	__Figure 1__	page=6 xpos=-1 ypos=1 left-column left-over right-indent box column-top line-double-space line-space figure-area above-blank-line above-double-space above-line-space
B-Caption	Figure 1: Performance of the combined model	page=6 xpos=0 ypos=4 left-column full-justified indented-line longer-tail line-blank-line line-double-space line-space string-figure headchar-capital
E-Caption	over the increase of the training set size.	page=6 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
I-Body	formance of machine learning approaches. In a	page=6 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-lower
I-Body	pilot study, we investigated sampling techniques	page=6 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	that rebalance the class distribution in the train-	page=6 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing set. We found that sampling techniques pre-	page=6 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	viously reported in Liu et al (2004) as useful for	page=6 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower
I-Body	dealing with an imbalanced class distribution in	page=6 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	the task of disfluency detection and sentence seg-	page=6 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mentation do not work for this particular data set.	page=6 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	The implicit assumption of some classifiers (such	page=6 xpos=0 ypos=6 left-column full-justified aligned-line headchar-capital
I-Body	as pruned decision trees) that the class distribution	page=6 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	of the test set matches that of the training set, and	page=6 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	that the costs of false positives and false negatives	page=6 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	are equivalent, may account for the failure of these	page=6 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	sampling techniques to yield improvements in per-	page=6 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	formance, when measured using Pk and Wd.	page=6 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Another approach that copes with the im-	page=6 xpos=0 ypos=8 left-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	balanced class prediction problem but does not	page=6 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower
I-Body	change the natural class distribution is to increase	page=6 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	the size of the training set. We conducted an ex-	page=6 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	periment in which we incrementally increased the	page=6 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	training set size by randomly choosing ten meet-	page=6 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ings each time until all meetings were selected.	page=6 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-period column-bottom
I-Body	We executed the process three times and averaged	page=6 xpos=5 ypos=1 right-column full-justified column-top headchar-capital
I-Body	the scores to obtain the results shown in Figure 1.	page=6 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	However, increasing training set size adds to the	page=6 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital
I-Body	perplexity in the training phase. We see that in-	page=6 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	creasing the size of the training set only improves	page=6 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	the accuracy of segment boundary prediction for	page=6 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	predicting top-level topics on ASR output. The	page=6 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	figure also indicates that training a model to pre-	page=6 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dict top-level boundaries requires no more than fif-	page=6 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	teen meetings in the training set to reach a reason-	page=6 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	able level of performance.	page=6 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	6 Conclusions	page=6 xpos=5 ypos=3 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Discovering major topic shifts and finding nested	page=6 xpos=5 ypos=3 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	subtopics are essential for the success of speech	page=6 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	document browsing and retrieval. Meeting records	page=6 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	contain rich information, in both content and con-	page=6 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	versation behavioral form, that enable automatic	page=6 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	topic segmentation at different levels of granular-	page=6 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ity. The current study demonstrates that the two	page=6 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	tasks – predicting top-level and subtopic bound-	page=6 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	aries – are distinct in many ways: (1) for pre-	page=6 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dicting subtopic boundaries, the lexical cohesion-	page=6 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	based approach achieves results that are com-	page=6 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	petitive with the machine learning approach that	page=6 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	combines lexical and conversational features; (2)	page=6 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	for predicting top-level boundaries, the machine	page=6 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	learning approach performs the best; and (3) many	page=6 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	conversational cues, such as overlapping speech	page=6 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	and cue phrases discussed in the literature, are	page=6 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	better indicators for top-level topic shifts than	page=6 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	for subtopic shifts, but new features such as cue	page=6 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	phrases can be learned statistically for the subtopic	page=6 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	prediction task. Even in the presence of a rela-	page=6 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tively higher word error rate, using ASR output	page=6 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	makes no difference to the preference of model for	page=6 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	the two tasks. The conversational features also did	page=6 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	not help improve the performance for predicting	page=6 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	from ASR output.	page=6 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In order to further identify useful features for	page=6 xpos=5 ypos=8 right-column left-indent indented-line longer-tail headchar-capital
I-Body	automatic segmentation of meetings at different	page=6 xpos=5 ypos=9 right-column full-justified hanged-line headchar-lower
I-Body	levels of granularity, we will explore the use of	page=6 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower column-bottom above-blank-line above-double-space above-line-space
Page	279	page=6 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	multimodal, i.e., acoustic and visual, cues. In ad-	page=7 xpos=0 ypos=0 left-column full-justified page-top headchar-lower tailchar-hiphen
I-Body	dition, in the current study, we only extracted fea-	page=7 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tures from within the analysis windows immedi-	page=7 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ately preceding and following each potential topic	page=7 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	boundary; we will explore models that take into	page=7 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
E-Body	account features of longer range dependencies.	page=7 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	7 Acknowledgements	page=7 xpos=0 ypos=1 left-column right-indent font-larger aligned-line shorter-tail line-double-space line-space string-acknowledgement numbered-heading1 above-double-space above-line-space
B-Body	Many thanks to Jean Carletta for her invaluable	page=7 xpos=0 ypos=1 left-column centered right-indent aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	help in managing the data, and for advice and	page=7 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	comments on the work reported in this paper.	page=7 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Thanks also to the AMI ASR group for produc-	page=7 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	ing the ASR transcriptions, and to the anonymous	page=7 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	reviewers for their helpful comments. This work	page=7 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	was supported by the European Union 6th FWP	page=7 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	IST Integrated Project AMI (Augmented Multi-	page=7 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital tailchar-hiphen
E-Body	party Interaction, FP6-506811).	page=7 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
ReferenceHeader	References	page=7 xpos=0 ypos=3 left-column right-indent font-larger aligned-line shorter-tail line-blank-line line-double-space line-space string-reference headchar-capital above-double-space above-line-space
B-Reference	J. Allan, J.G. Carbonell, G. Doddington, J. Yamron,	page=7 xpos=0 ypos=3 left-column full-justified font-smallest aligned-line longer-tail line-double-space line-space headchar-capital tailchar-comma
I-Reference	and Y. Yang. 1998. Topic detection and tracking pi-	page=7 xpos=0 ypos=3 left-column left-indent font-smallest indented-line year headchar-lower tailchar-hiphen
I-Reference	lot study: Final report. In Proceedings of the DARPA	page=7 xpos=0 ypos=4 left-column left-indent font-smallest aligned-line headchar-lower
I-Reference	Broadcast News Transcription and Understanding	page=7 xpos=0 ypos=4 left-column left-indent font-smallest aligned-line headchar-capital
I-Reference	Workshop.	page=7 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-capital tailchar-period above-double-space above-line-space
B-Reference	D. Beeferman, A. Berger, and J. Lafferty. 1999. Statis-	page=7 xpos=0 ypos=4 left-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital tailchar-hiphen
I-Reference	tical models for text segmentation. Machine Learn-	page=7 xpos=0 ypos=4 left-column left-indent font-smallest indented-line headchar-lower tailchar-hiphen
I-Reference	ing, 34:177–210.	page=7 xpos=0 ypos=4 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	D. M. Blei and P. J. Moreno. 2001. Topic segmentation	page=7 xpos=0 ypos=5 left-column full-justified font-smallest hanged-line longer-tail line-double-space line-space year headchar-capital
I-Reference	with an aspect hidden Markov model. In Proceed-	page=7 xpos=0 ypos=5 left-column left-indent font-smallest indented-line headchar-lower tailchar-hiphen
I-Reference	ings of the 24th Annual International ACM SIGIR	page=7 xpos=0 ypos=5 left-column left-indent font-smallest aligned-line headchar-lower
I-Reference	Conference on Research and Development in Infor-	page=7 xpos=0 ypos=5 left-column left-indent font-smallest aligned-line headchar-capital tailchar-hiphen
I-Reference	mation Retrieval. ACM Press.	page=7 xpos=0 ypos=5 left-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Reference	H. Christensen, B. Kolluru, Y. Gotoh, and S. Renals.	page=7 xpos=0 ypos=6 left-column full-justified font-smallest hanged-line longer-tail line-double-space line-space headchar-capital tailchar-period
